tweet_id,favorites,retweets,user_followers,user_favourites,date_time
835685285446955009,0,7404,9358960,147581,2017-02-26 02:57:52+00:00
835574547218894849,16607,3291,9358960,147581,2017-02-25 19:37:50+00:00
835536468978302976,0,1539,9358960,147581,2017-02-25 17:06:32+00:00
835309094223372289,0,19107,9358960,147581,2017-02-25 02:03:02+00:00
835297930240217089,15402,2733,9358960,147581,2017-02-25 01:18:40+00:00
835264098648616962,7216,1539,9358960,147581,2017-02-24 23:04:14+00:00
835246439529840640,1987,63,9358960,147581,2017-02-24 21:54:03+00:00
835172783151792128,24519,5284,9358960,147581,2017-02-24 17:01:22+00:00
835152434251116546,20901,2755,9358960,147581,2017-02-24 15:40:31+00:00
834931633769889797,10080,1486,9358960,147581,2017-02-24 01:03:08+00:00
834786237630337024,20180,5102,9358960,147581,2017-02-23 15:25:23+00:00
834574053763584002,12785,2304,9358960,147581,2017-02-23 01:22:14+00:00
834477809192075265,0,9742,9358960,147581,2017-02-22 18:59:48+00:00
834458053273591808,9017,1543,9358960,147581,2017-02-22 17:41:18+00:00
834209720923721728,19204,4316,9358960,147581,2017-02-22 01:14:30+00:00
834167344700198914,14807,3353,9358960,147581,2017-02-21 22:26:07+00:00
834089966724603904,9429,1960,9358960,147581,2017-02-21 17:18:39+00:00
834086379323871233,12215,2037,9358960,147581,2017-02-21 17:04:24+00:00
833863086058651648,12595,2204,9358960,147581,2017-02-21 02:17:06+00:00
833826103416520705,17042,3482,9358960,147581,2017-02-20 23:50:09+00:00
833732339549220864,0,203,9358960,147581,2017-02-20 17:37:34+00:00
833722901757046785,19639,2991,9358960,147581,2017-02-20 17:00:04+00:00
833479644947025920,13975,1885,9358960,147581,2017-02-20 00:53:27+00:00
833124694597443584,18953,4432,9358960,147581,2017-02-19 01:23:00+00:00
832998151111966721,12402,2007,9358960,147581,2017-02-18 17:00:10+00:00
832769181346996225,0,38,9358960,147581,2017-02-18 01:50:19+00:00
832757312314028032,15820,3312,9358960,147581,2017-02-18 01:03:09+00:00
832682457690300417,11118,2659,9358960,147581,2017-02-17 20:05:43+00:00
832645525019123713,2730,484,9358960,147581,2017-02-17 17:38:57+00:00
832636094638288896,14861,2553,9358960,147581,2017-02-17 17:01:29+00:00
832397543355072512,11215,2034,9358960,147581,2017-02-17 01:13:34+00:00
832369877331693569,16038,2913,9358960,147581,2017-02-16 23:23:38+00:00
832273440279240704,10632,2139,9358960,147581,2017-02-16 17:00:25+00:00
832215909146226688,0,5705,9358960,147581,2017-02-16 13:11:49+00:00
832215726631055365,0,8563,9358960,147581,2017-02-16 13:11:05+00:00
832088576586297345,59,2,9358960,147581,2017-02-16 04:45:50+00:00
832040443403784192,0,8796,9358960,147581,2017-02-16 01:34:34+00:00
832032802820481025,16733,4291,9358960,147581,2017-02-16 01:04:13+00:00
831939777352105988,22428,5641,9358960,147581,2017-02-15 18:54:34+00:00
831926988323639298,319,34,9358960,147581,2017-02-15 18:03:45+00:00
831911600680497154,25772,5956,9358960,147581,2017-02-15 17:02:36+00:00
831670449226514432,9767,1685,9358960,147581,2017-02-15 01:04:21+00:00
831650051525054464,6668,1782,9358960,147581,2017-02-14 23:43:18+00:00
831552930092285952,8439,2153,9358960,147581,2017-02-14 17:17:22+00:00
831322785565769729,8729,1438,9358960,147581,2017-02-14 02:02:51+00:00
831315979191906304,6160,1035,9358960,147581,2017-02-14 01:35:49+00:00
831309418084069378,11062,2256,9358960,147581,2017-02-14 01:09:44+00:00
831262627380748289,11130,1883,9358960,147581,2017-02-13 22:03:49+00:00
830956169170665475,7495,1373,9358960,147581,2017-02-13 01:46:03+00:00
830583320585068544,62247,15364,9358960,147581,2017-02-12 01:04:29+00:00
830173239259324417,0,5224,9358960,147581,2017-02-10 21:54:58+00:00
830097400375152640,9132,2686,9358960,147581,2017-02-10 16:53:37+00:00
829878982036299777,0,4589,9358960,147581,2017-02-10 02:25:42+00:00
829861396166877184,11491,1789,9358960,147581,2017-02-10 01:15:49+00:00
829501995190984704,29815,9742,9358960,147581,2017-02-09 01:27:41+00:00
829449946868879360,9846,1854,9358960,147581,2017-02-08 22:00:52+00:00
829141528400556032,22861,6745,9358960,147581,2017-02-08 01:35:19+00:00
829011960981237760,50153,15053,9358960,147581,2017-02-07 17:00:28+00:00
828801551087042563,0,3150,9358960,147581,2017-02-07 03:04:22+00:00
828770345708580865,24020,5378,9358960,147581,2017-02-07 01:00:22+00:00
828708714936930305,34157,10287,9358960,147581,2017-02-06 20:55:28+00:00
828650029636317184,8929,1232,9358960,147581,2017-02-06 17:02:17+00:00
828409743546925057,6031,1078,9358960,147581,2017-02-06 01:07:28+00:00
828408677031882754,7232,1182,9358960,147581,2017-02-06 01:03:14+00:00
828381636999917570,11832,2054,9358960,147581,2017-02-05 23:15:47+00:00
828376505180889089,6969,990,9358960,147581,2017-02-05 22:55:23+00:00
828372645993398273,11841,2720,9358960,147581,2017-02-05 22:40:03+00:00
828361771580813312,2063,165,9358960,147581,2017-02-05 21:56:51+00:00
828046555563323392,11026,2646,9358960,147581,2017-02-05 01:04:17+00:00
828011680017821696,9749,1981,9358960,147581,2017-02-04 22:45:42+00:00
827933404142436356,18788,4812,9358960,147581,2017-02-04 17:34:40+00:00
827653905312006145,14553,2787,9358960,147581,2017-02-03 23:04:02+00:00
827600520311402496,7045,863,9358961,147581,2017-02-03 19:31:54+00:00
827324948884643840,14902,2798,9358961,147581,2017-02-03 01:16:53+00:00
827199976799354881,9969,2054,9358961,147581,2017-02-02 17:00:17+00:00
826958653328592898,20258,4589,9358961,147581,2017-02-02 01:01:21+00:00
826848821049180160,33951,9304,9358961,147581,2017-02-01 17:44:55+00:00
826615380357632002,0,3668,9358961,147581,2017-02-01 02:17:19+00:00
826598799820865537,4845,229,9358961,147581,2017-02-01 01:11:25+00:00
826598365270007810,9420,2173,9358961,147581,2017-02-01 01:09:42+00:00
826476773533745153,17323,3882,9358961,147581,2017-01-31 17:06:32+00:00
826240494070030336,12498,2410,9358961,147581,2017-01-31 01:27:39+00:00
826204788643753985,4585,855,9358961,147581,2017-01-30 23:05:46+00:00
826115272272650244,14701,2857,9358961,147581,2017-01-30 17:10:04+00:00
825876512159186944,9900,1733,9358961,147581,2017-01-30 01:21:19+00:00
825829644528148480,11985,2324,9358961,147581,2017-01-29 22:15:05+00:00
825535076884762624,53812,16301,9358961,147581,2017-01-29 02:44:34+00:00
825147591692263424,17204,4167,9358964,147581,2017-01-28 01:04:51+00:00
825120256414846976,0,1165,9358964,147581,2017-01-27 23:16:13+00:00
825026590719483904,5889,1165,9358964,147581,2017-01-27 17:04:02+00:00
824796380199809024,0,5078,9358964,147581,2017-01-27 01:49:15+00:00
824775126675836928,14017,3259,9358964,147581,2017-01-27 00:24:48+00:00
824663926340194305,9918,1635,9358964,147581,2017-01-26 17:02:56+00:00
824325613288833024,11140,9853,9358964,147581,2017-01-25 18:38:36+00:00
824297048279236611,14179,3552,9358964,147581,2017-01-25 16:45:05+00:00
824025158776213504,4566,556,9358964,147581,2017-01-24 22:44:42+00:00
823939628516474880,10036,2522,9358964,147581,2017-01-24 17:04:50+00:00
823719002937630720,0,10312,9358964,147581,2017-01-24 02:28:08+00:00
823699002998870016,13165,2330,9358964,147581,2017-01-24 01:08:40+00:00
823581115634085888,12220,2433,9358964,147581,2017-01-23 17:20:14+00:00
823333489516937216,662,22,9358964,147581,2017-01-23 00:56:15+00:00
823322678127919110,14777,3704,9358964,147581,2017-01-23 00:13:17+00:00
823269594223824897,0,9184,9358964,147581,2017-01-22 20:42:21+00:00
822975315408461824,16326,3188,9358964,147581,2017-01-22 01:12:59+00:00
822872901745569793,123686,39753,9358964,147581,2017-01-21 18:26:02+00:00
822859134160621569,12412,2104,9358964,147581,2017-01-21 17:31:20+00:00
822647212903690241,0,5932,9358964,147581,2017-01-21 03:29:14+00:00
822610361945911296,13929,2720,9358964,147581,2017-01-21 01:02:48+00:00
